"조사연도","기준연도","학교명","설립별","지역별","교외장학금 소계(원)","교외장학금 국가","교외장학금 지방자치단체","교외장학금 사설및기타","교내장학금 소계(원)","교내장학금 성적우수장학금","교내장학금 저소득층장학금","교내장학금 근로장학금","교내장학금 재난장학금","교내장학금 교직원장학금","교내장학금 기타장학금","총계(원)"
"2024","2023","문경대학교","사립","경북","3012963153","2435720273","49670800","527572080","568394282","126906520","233453480","45088494","0","0","162945788","3581357435"
"2024","2023","배재대학교","사립","대전","18804363381","18606420601","73464060","124478720","8613468000","1213608990","4152323380","470609270","0","99598000","2677328360","27417831381"
"2024","2023","배화여자대학교","사립","서울","6429291377","6323761077","8550300","96980000","1862266618","793199680","663660000","67757738","0","0","337649200","8291557995"
"2024","2023","백석대학교","사립","충남","29640018898","29389710098","8330000","241978800","12253099094","4042784400","4054561360","279758240","0","184316000","3691679094","41893117992"
"2024","2023","백석문화대학교","사립","충남","12183598909","12096301699","12326320","74970890","3345394826","629011190","806626400","144641376","0","155625000","1609490860","15528993735"
"2024","2023","백제예술대학교","사립","전북","2285226133","2277146133","0","8080000","678625507","213367200","269072107","35550000","0","0","160636200","2963851640"
"2024","2023","부산가톨릭대학교","사립","부산","12065462296","11883350296","29397000","152715000","3982869775","1030318000","977917666","374571379","0","28608000","1571454730","16048332071"
"2024","2023","부산경상대학교","사립","부산","9521212226","9410209041","15447185","95556000","2674244543","36944000","8168000","154883898","0","23202000","2451046645","12195456769"
"2024","2023","부산과학기술대학교","사립","부산","10916134451","10770610831","16298120","129225500","3568260797","233650534","8488000","67468388","0","33216300","3225437575","14484395248"
"2024","2023","부산교육대학교","국공립","부산","2599705762","2058286402","409481360","131938000","934218308","431486000","103626000","179700308","0","0","219406000","3533924070"
"2024","2023","부산대학교","국공립","부산","41172302225","37533382630","856363545","2782556050","15804236632","5976255810","6226664380","1687274482","0","0","1914041960","56976538857"
"2024","2023","부산디지털대학교","사립","부산","4322228563","4297270563","1118000","23840000","653258087","26012000","30548000","4007920","0","0","592690167","4975486650"
"2024","2023","부산보건대학교","사립","부산","8034275456","7981436456","3719000","49120000","2068796103","598179200","10356300","98288053","0","22907000","1339065550","10103071559"
"2024","2023","부산여자대학교","사립","부산","6034942467","5948492467","0","86450000","1396451862","135627000","378459600","111611462","0","6308000","764445800","7431394329"
"2024","2023","부산예술대학교","사립","부산","2365229810","2328161810","0","37068000","572098102","41738000","10000000","19495052","0","0","500865050","2937327912"
"2024","2023","부산외국어대학교","사립","부산","14359292153","13916311773","51247080","391733300","6796191952","1073010000","1093363020","829945396","0","42690000","3757183536","21155484105"
"2024","2023","부산장신대학교","사립","경남","592954714","583804714","0","9150000","162238156","27948500","1200000","17860156","0","6327000","108902500","755192870"
"2024","2023","부천대학교","사립","경기","22310055056","22198303376","1500000","110251680","6597835832","1925313740","1933921250","602244232","0","43513600","2092843010","28907890888"
"2024","2023","사이버한국외국어대학교","사립","서울","6554817163","6528001163","1940000","24876000","2154707832","171813334","115920000","0","0","30600000","1836374498","8709524995"
"2024","2023","삼육대학교","사립","서울","13767826737","13182976571","261748000","323102166","7395538105","1241352200","1932184460","1417503739","3200000","251772500","2549525206","21163364842"
"2024","2023","삼육보건대학교","사립","서울","2786547019","2733618019","17929000","35000000","1145132613","337509600","261012571","153772282","0","2869000","389969160","3931679632"
"2024","2023","상명대학교","사립","서울","26713160490","26140471470","106580820","466108200","15459172755","5848168633","4825303139","1070516873","0","32293000","3682891110","42172333245"
"2024","2023","상지대학교","사립","강원","13881151845","12899699830","606180600","375271415","6498750831","879567900","1699347700","135727498","0","163578200","3620529533","20379902676"
"2024","2023","상지영서대학교","사립","강원","16530000","15690000","840000","0","3960000","0","0","0","0","0","3960000","20490000"
"2024","2023","서강대학교","사립","서울","13718059176","10996750260","120535350","2600773566","9619419770","1055230000","5251124000","1969523363","0","48930000","1294612407","23337478946"
"2024","2023","서경대학교","사립","서울","13969255838","13846876238","38100600","84279000","8577651320","1876559867","3147375400","1028084406","0","14577300","2511054347","22546907158"
"2024","2023","서영대학교","사립","광주","15542121929","15436711929","7500000","97910000","2844393927","372603000","54791600","119902734","0","6158000","2290938593","18386515856"
"2024","2023","서울과학기술대학교","국공립","서울","19884704532","18750569567","147204830","986930135","9311636383","2257338990","907984780","1750476918","0","0","4395835695","29196340915"
"2024","2023","서울교육대학교","국공립","서울","1718862219","1559277219","25962000","133623000","807277523","225546000","172300000","132137206","0","0","277294317","2526139742"
"2024","2023","서울기독대학교","사립","서울","775706272","619181372","1397700","155127200","582858553","128992000","42922800","22266953","0","0","388676800","1358564825"
"2024","2023","서울대학교","국공립","서울","34697922753","20646494373","194902100","13856526280","17968462257","102210000","4948145460","4197094307","0","0","8721012490","52666385010"
"2024","2023","서울디지털대학교","사립","서울","11442511100","11440511100","2000000","0","5068956150","696172200","121499550","0","0","54306000","4196978400","16511467250"
"2024","2023","서울사이버대학교","사립","서울","19050278534","19022307600","12333334","15637600","8774029600","806976500","89391300","0","0","14274000","7863387800","27824308134"
"2024","2023","서울시립대학교","국공립","서울","13167404928","11546555700","28836370","1592012858","5824516550","1227841750","1037159250","2014788150","0","0","1544727400","18991921478"
"2024","2023","서울신학대학교","사립","경기","7537196635","7420892035","2100600","114204000","2148321830","418884300","901156500","234691830","0","34627000","558962200","9685518465"
"2024","2023","서울여자간호대학교","사립","서울","1631629355","1591730355","29000000","10899000","789992610","273854068","161649000","36808252","0","0","317681290","2421621965"
"2024","2023","서울여자대학교","사립","서울","15857240003","15151809203","194615280","510815520","8322545805","1808728800","4252958150","591990845","0","50100000","1618768010","24179785808"
"2024","2023","서울예술대학교","사립","경기","8013763579","7758012179","72074400","183677000","3679849638","1005766500","1196741267","607080071","0","21140000","849121800","11693613217"
"2024","2023","서울장신대학교","사립","경기","970057774","955057774","0","15000000","470060336","135819000","84876000","83744936","0","13884000","151736400","1440118110"
"2024","2023","서울한영대학교","사립","서울","1877940481","1838091301","7324180","32525000","487802664","102818850","101115000","62917974","0","1859500","219091340","2365743145"
"2024","2023","서원대학교","사립","충북","18704444301","18229510741","269842060","205091500","7580997234","1592612700","599021100","745704696","0","61393600","4582265138","26285441535"
"2024","2023","서일대학교","사립","서울","14899822683","14769511923","13205760","117105000","5159595628","1896421117","1924309740","448677386","0","36537000","853650385","20059418311"
